               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092764,             0.02993,            0.022511,           0.0032814,             0.27381,           0.0023985,          0.00043862,             0.12918,            0.036219,            0.027527,              0.0973,              0.0003,              0.0003
                   1,             0.07792,            0.029215,            0.020253,           0.0033143,             0.27381,           0.0024259,          0.00047055,             0.12715,            0.036373,            0.027545,            0.093691,          0.00069134,          0.00069134
                   2,            0.068746,            0.031673,            0.018836,           0.0040732,             0.30952,           0.0031196,          0.00058609,             0.12423,            0.036947,            0.027283,            0.090073,           0.0010728,           0.0010728
                   3,            0.070884,            0.031347,            0.019528,           0.0050212,             0.60714,           0.0051837,           0.0012728,             0.12257,            0.036097,            0.026642,            0.086444,           0.0014443,           0.0014443
                   4,            0.054851,            0.030929,            0.017162,           0.0065624,             0.67857,           0.0076698,           0.0016448,             0.12089,            0.036371,            0.025995,            0.082806,           0.0018059,           0.0018059
                   5,            0.060587,            0.032366,            0.019426,           0.0065609,             0.67857,           0.0092783,           0.0021923,             0.12013,            0.036205,            0.025519,            0.079158,           0.0021577,           0.0021577
                   6,            0.070544,            0.030836,            0.018957,           0.0072872,             0.71429,            0.014236,           0.0038391,             0.11817,            0.036671,            0.025031,              0.0755,           0.0024995,           0.0024995
                   7,            0.047042,            0.028033,            0.013036,           0.0065864,             0.67857,            0.035528,           0.0089952,              0.1164,            0.036497,            0.024182,            0.071831,           0.0028315,           0.0028315
                   8,            0.043834,            0.031927,            0.011759,             0.01803,             0.67857,              0.1101,            0.039635,             0.11484,            0.036184,            0.023187,            0.068154,           0.0031535,           0.0031535
                   9,            0.041956,            0.028361,           0.0099072,             0.63772,            0.041772,              0.1596,            0.043238,             0.11162,            0.037146,            0.021631,            0.064466,           0.0034656,           0.0034656
                  10,            0.050622,            0.024698,            0.010373,             0.24619,             0.27381,             0.29255,            0.080815,             0.10786,            0.038261,             0.02041,            0.060768,           0.0037679,           0.0037679
