epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.57354,1.20776,2.97269,1.75907,0.00742,0.71429,0.0952,0.03844,1.99766,3.20395,1.70265,5.001e-05,5.001e-05,5.001e-05
2,4.90884,1.30688,2.99439,1.78356,0.00801,0.75,0.1477,0.05443,1.98827,3.22023,1.66654,0.000114765,0.000114765,0.000114765
3,6.22131,1.19744,2.54584,1.63258,0.00668,0.67857,0.2763,0.169,1.88029,3.13917,1.60671,0.000177319,0.000177319,0.000177319
4,7.38168,1.03075,2.03176,1.49539,0.00739,0.71429,0.26093,0.16402,1.91391,3.11418,1.67072,0.000237673,0.000237673,0.000237673
5,8.49726,1.06126,1.6911,1.47006,0.00625,0.54762,0.26856,0.17169,1.9688,3.14907,1.71771,0.000295826,0.000295826,0.000295826
6,9.57464,1.07979,1.67695,1.49356,0.00631,0.54762,0.24986,0.16151,2.05801,3.1326,1.79829,0.000351779,0.000351779,0.000351779
7,10.7297,1.00019,1.49172,1.41616,0.00472,0.34524,0.11425,0.04261,2.22649,3.20551,1.90624,0.000405531,0.000405531,0.000405531
8,11.9674,0.95565,1.31228,1.34787,0.0064,0.54762,0.09673,0.03672,2.56736,3.28199,2.18038,0.000457083,0.000457083,0.000457083
9,13.0471,1.01165,1.43489,1.4029,0.00495,0.47619,0.05075,0.01532,2.68629,3.28175,2.22942,0.000506435,0.000506435,0.000506435
10,14.5557,1.13683,1.47738,1.47565,0.00415,0.44048,0.03424,0.01286,2.50953,3.43087,2.13724,0.000553586,0.000553586,0.000553586
11,16.5197,1.00645,1.36031,1.37005,0.00501,0.60714,0.02711,0.00955,2.62448,3.41425,2.21097,0.000598536,0.000598536,0.000598536
12,18.1088,1.04316,1.36778,1.46007,0.1262,0.02704,0.03913,0.00818,2.84994,3.42409,2.4263,0.000641287,0.000641287,0.000641287
13,19.2013,1.05119,1.41857,1.44908,0.00509,0.60714,0.05254,0.01711,2.82014,3.53445,2.60471,0.000681836,0.000681836,0.000681836
14,20.2892,1.01305,1.29832,1.38139,0.00586,0.64286,0.04243,0.01348,2.80111,3.55796,2.48956,0.000720186,0.000720186,0.000720186
15,21.4285,0.90332,1.13487,1.25461,0.00427,0.57143,0.01003,0.00211,3.1039,3.36749,2.69999,0.000756335,0.000756335,0.000756335
16,22.5706,1.04003,1.30118,1.40797,0.00488,0.47619,0.18081,0.01937,2.94952,3.41595,2.63378,0.000790283,0.000790283,0.000790283
17,23.675,0.96,1.26937,1.49258,0.00414,0.44048,0.06377,0.01684,2.94366,3.5931,2.94412,0.000822031,0.000822031,0.000822031
18,24.7483,0.98249,1.19965,1.34325,0.00344,0.40476,0.01628,0.00473,2.9069,3.89998,3.16221,0.000851579,0.000851579,0.000851579
19,26.0328,1.02997,1.33213,1.46559,0.0935,0.20238,0.03511,0.00779,2.63786,3.90673,2.8791,0.000878926,0.000878926,0.000878926
20,27.1398,0.98744,1.26993,1.34432,0.97007,0.03571,0.05058,0.01261,2.51895,3.58851,2.49055,0.000904072,0.000904072,0.000904072
21,28.6726,0.93988,1.18134,1.30713,0.24887,0.03571,0.04111,0.00498,2.70583,3.53975,2.60299,0.000927019,0.000927019,0.000927019
22,30.2856,0.91873,1.17027,1.33758,0.20417,0.02917,0.02182,0.00288,2.66807,3.59987,2.5376,0.000947765,0.000947765,0.000947765
23,32.3424,0.93091,1.30731,1.38908,0.00565,0.5119,0.00708,0.0016,2.52406,3.67779,2.40947,0.00096631,0.00096631,0.00096631
24,33.4564,0.84438,1.09926,1.2858,0.0049,0.47619,0.00598,0.00162,2.68965,3.66289,2.50727,0.000982655,0.000982655,0.000982655
25,34.5468,0.86747,1.22873,1.31305,0.00796,0.03571,0.00818,0.00232,2.59068,3.70831,2.55776,0.000996799,0.000996799,0.000996799
26,35.6364,0.96523,1.03425,1.29312,0.35103,0.03571,0.0413,0.00477,2.80729,3.61491,2.79935,0.000979362,0.000979362,0.000979362
27,36.6756,0.96443,1.07681,1.34182,0.46425,0.03571,0.04566,0.00965,2.88999,3.40834,2.86127,0.000951857,0.000951857,0.000951857
28,37.7586,0.88655,1.06259,1.2981,0.36673,0.36905,0.20763,0.0387,2.61222,3.37703,2.5566,0.000924352,0.000924352,0.000924352
29,38.8288,0.80969,1.01944,1.23051,0.22387,0.14924,0.12746,0.06433,2.57844,3.58797,2.4824,0.000896846,0.000896846,0.000896846
30,40.0467,0.84328,1.01443,1.23377,0.12235,0.16667,0.08851,0.0685,2.70521,3.6392,2.63734,0.00086934,0.00086934,0.00086934
31,41.1975,0.84512,1.02947,1.27518,0.00422,0.44048,0.04807,0.03474,2.6072,4.05419,2.51463,0.000841835,0.000841835,0.000841835
32,42.7178,0.80349,0.96347,1.23739,0.00334,0.40476,0.01691,0.00469,2.61195,3.93777,2.51289,0.000814329,0.000814329,0.000814329
33,44.3889,0.7872,0.89209,1.24016,0.02296,0.03571,0.00781,0.00113,2.5626,3.7652,2.44447,0.000786824,0.000786824,0.000786824
34,46.0646,0.68265,0.90257,1.17312,0.0027,0.2381,0.00763,0.00112,2.57557,3.80229,2.42801,0.000759318,0.000759318,0.000759318
35,47.1184,0.77864,0.94754,1.21438,0.00173,0.20238,0.00225,0.00036,2.51961,4.04253,2.4748,0.000731813,0.000731813,0.000731813
36,48.1571,0.79824,0.91517,1.22308,0.00173,0.20238,0.0013,0.00033,2.65759,4.08495,2.5735,0.000704307,0.000704307,0.000704307
37,49.4628,0.7898,0.87283,1.22514,0.00243,0.36905,0.0121,0.00136,2.66142,4.08269,2.51289,0.000676802,0.000676802,0.000676802
38,50.5803,0.734,0.81249,1.18606,0.00243,0.36905,0.02706,0.00908,2.48949,4.06864,2.43752,0.000649297,0.000649297,0.000649297
39,51.6277,0.74912,0.87372,1.18023,0.00343,0.40476,0.024,0.00765,2.66753,3.83476,2.58096,0.000621791,0.000621791,0.000621791
40,52.758,0.85696,0.96117,1.27753,0.00443,0.44048,0.02818,0.01037,2.76907,3.76116,2.58056,0.000594286,0.000594286,0.000594286
41,53.8416,0.70915,0.84444,1.18577,0.05236,0.03571,0.04486,0.01688,2.79468,3.78944,2.57805,0.00056678,0.00056678,0.00056678
42,54.911,0.75508,0.84452,1.18164,0.14604,0.20238,0.07763,0.03104,2.71639,3.76997,2.52574,0.000539275,0.000539275,0.000539275
43,56.2571,0.80047,0.92199,1.25816,0.1543,0.1543,0.0666,0.02756,2.71088,3.84104,2.53046,0.000511769,0.000511769,0.000511769
44,57.8213,0.74384,0.85726,1.21218,0.0034,0.40476,0.05768,0.02115,2.69588,3.82099,2.46239,0.000484263,0.000484263,0.000484263
45,59.4676,0.73119,0.81126,1.16074,0.00338,0.40476,0.06888,0.02969,2.7248,3.7904,2.40076,0.000456758,0.000456758,0.000456758
46,60.7568,0.77729,0.98075,1.21814,0.00503,0.60714,0.0374,0.01231,2.72622,3.81119,2.44458,0.000429253,0.000429253,0.000429253
